cor,secao,retranca
s6,Supervisão de Administração,CEHZWDM
s6,Supervisão de Gestão de Pessoas,CEHZXDM
s6,Supervisão de Finanças,CEHZYDM
s6,Supervisão de Suprimentos,CEHZZDM
s5,São Miguel Paulista,
s6,GABINETE DO SUBPREFEITO,CEJBADM
s6,Coordenadoria de Ação Social e Desenvolvimento,CEJBEDM
s6,Supervisão de Assistência Social,CEJBFDM
s6,Supervisão de Esportes e Lazer,CEJBGDM
s6,Supervisão de Segurança Alimentar,CEJBHDM
s6,Supervisão de Cultura,CEJBIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,CEJBJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,CEJBKDM
s6,Supervisão Técnica de Fiscalização,CEJBLDM
s6,Supervisão Técnica de Planejamento Urbano,CEJBMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,CEJBNDM
s6,Supervisão Técnica de Limpeza Pública,CEJBODM
s6,Supervisão Técnica de Manutenção,CEJBPDM
s6,Coordenadoria de Projetos e Obras Novas,CEJBQDM
s6,Coordenadoria de Educação,CEJBRDM
s6,Supervisão Escolar,CEJBSDM
s6,Coordenadoria de Saúde,CEJBTDM
s6,Supervisão de Vigilância em Saúde,CEJBUDM
s6,Coordenadoria de Administração e Finanças,CEJBVDM
s6,Supervisão de Administração,CEJBWDM
s6,Supervisão de Gestão de Pessoas,CEJBXDM
s6,Supervisão de Finanças,CEJBYDM
s6,Supervisão de Suprimentos,CEJBZDM
s5,Sé,
s6,GABINETE DO SUBPREFEITO,CEJCADM
s6,Coordenadoria de Ação Social e Desenvolvimento,CEJCEDM
s6,Supervisão de Assistência Social,CEJCFDM
s6,Supervisão de Esportes e Lazer,CEJCGDM
s6,Supervisão de Segurança Alimentar,CEJCHDM
s6,Supervisão de Cultura,CEJCIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,CEJCJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,CEJCKDM
s6,Supervisão Técnica de Fiscalização,CEJCLDM
s6,Supervisão Técnica de Planejamento Urbano,CEJCMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,CEJCNDM
s6,Supervisão Técnica de Limpeza Pública,CEJCODM
s6,Supervisão Técnica de Manutenção,CEJCPDM
s6,Coordenadoria de Projetos e Obras Novas,CEJCQDM
s6,Coordenadoria de Educação,CEJCRDM
s6,Supervisão Escolar,CEJCSDM
s6,Coordenadoria de Saúde,CEJCTDM
s6,Supervisão de Vigilância em Saúde,CEJCUDM
s6,Coordenadoria de Administração e Finanças,CEJCVDM
s6,Supervisão de Administração,CEJCWDM
s6,Supervisão de Gestão de Pessoas,CEJCXDM
s6,Supervisão de Finanças,CEJCYDM
s6,Supervisão de Suprimentos,CEJCZDM
s5,Capela do Socorro,
s6,GABINETE DO SUBPREFEITO,CEJDADM
s6,Coordenadoria de Ação Social e Desenvolvimento,CEJDEDM
s6,Supervisão de Assistência Social,CEJDFDM
s6,Supervisão de Esportes e Lazer,CEJDGDM
s6,Supervisão de Segurança Alimentar,CEJDHDM
s6,Supervisão de Cultura,CEJDIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,CEJDJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,CEJDKDM
s6,Supervisão Técnica de Fiscalização,CEJDLDM
s6,Supervisão Técnica de Planejamento Urbano,CEJDMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,CEJDNDM
s6,Supervisão Técnica de Limpeza Pública,CEJDODM
s6,Supervisão Técnica de Manutenção,CEJDPDM
s6,Coordenadoria de Projetos e Obras Novas,CEJDQDM
s6,Coordenadoria de Educação,CEJDRDM
s6,Supervisão Escolar,CEJDSDM
s6,Coordenadoria de Saúde,CEJDTDM
s6,Supervisão de Vigilância em Saúde,CEJDUDM
s6,Coordenadoria de Administração e Finanças,CEJDVDM
s6,Supervisão de Administração,CEJDWDM
s6,Supervisão de Gestão de Pessoas,CEJDXDM
s6,Supervisão de Finanças,CEJDYDM
s6,Supervisão de Suprimentos,CEJDZDM
s5,Vila Maria - Vila Guilherme,
s6,GABINETE DO SUBPREFEITO,CEJEADM
s6,Coordenadoria de Ação Social e Desenvolvimento,CEJEEDM
s6,Supervisão de Assistência Social,CEJEFDM
s6,Supervisão de Esportes e Lazer,CEJEGDM
s6,Supervisão de Segurança Alimentar,CEJEHDM
s6,Supervisão de Cultura,CEJEIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,CEJEJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,CEJEKDM
s6,Supervisão Técnica de Fiscalização,CEJELDM
s6,Supervisão Técnica de Planejamento Urbano,CEJEMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,CEJENDM
s6,Supervisão Técnica de Limpeza Pública,CEJEODM
s6,Supervisão Técnica de Manutenção,CEJEPDM
s6,Coordenadoria de Projetos e Obras Novas,CEJEQDM
s6,Coordenadoria de Educação,CEJERDM
s6,Supervisão Escolar,CEJESDM
s6,Coordenadoria de Saúde,CEJETDM
s6,Supervisão de Vigilância em Saúde,CEJEUDM
s6,Coordenadoria de Administração e Finanças,CEJEVDM
s6,Supervisão de Administração,CEJEWDM
s6,Supervisão de Gestão de Pessoas,CEJEXDM
s6,Supervisão de Finanças,CEJEYDM
s6,Supervisão de Suprimentos,CEJEZDM
s5,Vila Mariana,
s6,GABINETE DO SUBPREFEITO,CEJFADM
s6,Coordenadoria de Ação Social e Desenvolvimento,CEJFEDM
s6,Supervisão de Assistência Social,CEJFFDM
s6,Supervisão de Esportes e Lazer,CEJFGDM
s6,Supervisão de Segurança Alimentar,CEJFHDM
s6,Supervisão de Cultura,CEJFIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,CEJFJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,CEJFKDM
s6,Supervisão Técnica de Fiscalização,CEJFLDM
s6,Supervisão Técnica de Planejamento Urbano,CEJFMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,CEJFNDM
s6,Supervisão Técnica de Limpeza Pública,CEJFODM
s6,Supervisão Técnica de Manutenção,CEJFPDM
s6,Coordenadoria de Projetos e Obras Novas,CEJFQDM
s6,Coordenadoria de Educação,CEJFRDM
s6,Supervisão Escolar,CEJFSDM
s6,Coordenadoria de Saúde,CEJFTDM
s6,Supervisão de Vigilância em Saúde,CEJFUDM
s6,Coordenadoria de Administração e Finanças,CEJFVDM
s6,Supervisão de Administração,CEJFWDM
s6,Supervisão de Gestão de Pessoas,CEJFXDM
s6,Supervisão de Finanças,CEJFYDM
s6,Supervisão de Suprimentos,CEJFZDM
s5,Vila Prudente - Sapopemba,
s6,GABINETE DO SUBPREFEITO,CEJGADM
s6,Coordenadoria de Ação Social e Desenvolvimento,CEJGEDM
s6,Supervisão de Assistência Social,CEJGFDM
s6,Supervisão de Esportes e Lazer,CEJGGDM
s6,Supervisão de Segurança Alimentar,CEJGHDM
s6,Supervisão de Cultura,CEJGIDM
s6,Coordenadoria de Planejamento e Desenvolvimento Urbano,CEJGJDM
s6,Supervisão Técnica de Uso do Solo e Licenciamentos,CEJGKDM
s6,Supervisão Técnica de Fiscalização,CEJGLDM
s6,Supervisão Técnica de Planejamento Urbano,CEJGMDM
s6,Coordenadoria de Manutenção da Infra-estrutura Urbana,CEJGNDM
s6,Supervisão Técnica de Limpeza Pública,CEJGODM
s6,Supervisão Técnica de Manutenção,CEJGPDM
s6,Coordenadoria de Projetos e Obras Novas,CEJGQDM
s6,Coordenadoria de Educação,CEJGRDM
s6,Supervisão Escolar,CEJGSDM
s6,Coordenadoria de Saúde,CEJGTDM
s6,Supervisão de Vigilância em Saúde,CEJGUDM
s6,Coordenadoria de Administração e Finanças,CEJGVDM
s6,Supervisão de Administração,CEJGWDM
s6,Supervisão de Gestão de Pessoas,CEJGXDM
s6,Supervisão de Finanças,CEJGYDM
s6,Supervisão de Suprimentos,CEJGZDM
s5,CULTURA,
s6,GABINETE DO SECRETÁRIO,CFAAADM
s6,SEÇÃO DE LICITAÇÕES E CONTRATOS,CFABADM
s6,DEPTO PESSOAL - RECURSOS HUMANOS,CFACADM
s6,COMISSÃO DE AVERIGUAÇÃO E AVALIAÇÃO DE PROJETOS CULTURAIS - CAAPC,CFAEADM
s10,CENTRO CULTURAL,CFCAADM
s6,CENTRO CULTURAL - EXPEDIENTE,CFCACDM
s6,CENTRO CULTURAL - CONTABILIDADE,CFCAEDM
s6,CENTRO CULTURAL - DEPTO PESSOAL,CFCAGDM
s10,COMPRESP,CFDAADM
s10,DEPTO DE EXPANSÃO CULTURAL,CFEAADM
s10,COORDENADORIA DO SISTEAM MUNICIPAL DE BIBLIOTECAS,CFFAADM
s10,DEPTO DE PATRIMÔNIO HISTÓRICO,CFGAADM
s10,DEPTO BIBLIOTECA MÁRIO DE ANDRADE,CFHAADM
s10,THEATRO MUNICIPAL,CFIAADM
s10,CENTRO CULTURAL DA JUVENTUDE - CCJ,CFKAADM
s10,DEPARTAMENTO DO ARQUIVO HISTÓRICO DE SÃO PAULO,CFLAADM
s5,EDUCAÇÃO,
s6,GABINETE DO SECRETÁRIO,CGAAADM
s6,DEPTO PESSOAL,CGABADM
s6,CONTABILIDADE,CGACADM
s6,COMISSÃO DE ACUMULO DE CARGOS - C.A..A.C.,CGADADM
s6,COMISSÃO ESPECIAL DE PAGAMENTO - C.E.P.,CGAEADM
s6,CENTRO DE INFORMÁTICA - C.I.,CGAFADM
s10,COORDENADORIA DOS NÚCLEOS DE AÇÃO EDUCATIVA,CGFAADM
s6,CONAE - DOT GAB  - DIRETORIA TECNICA,CGFBCDM
s6,CONAE - DOT-1,CGFBEDM
s6,CONAE - DOT-2,CGFBGDM
s6,CONAE - DOT-3,CGFBIDM
s6,CONAE - 2 - GABINETE DO SECRETÁRIO,CGFDADM
s6,CONAE - 2 - DIVISÃO ADM.001INISTRATIVA,CGFDEDM
s6,CONAE - 2 - READAPTAÇÃO FUNCIONAL,CGFDIDM
s6,CONAE - 2 - COMISSÃO DE CURSOS E TITULOS,CGFDODM
s6,CONAE - 2 - SETOR DE QUADROS,CGFDUDM
s6,CONAE - 2 - SETOR DE POSSE,CGFDVDM
s6,CONAE - 1  DIVISÃO ADMINSTRATIVA,CGFFADM
s6,CONAE - 13  DEPARTAMENTO PESSOAL,CGFFCDM
s6,CONAE - 14  COMPRAS,CGFFEDM
s6,CONAE - 15   MATERIAL E CADASTRO,CGFFGDM
s6,CONAE - 151  LICITAÇÃO,CGFFIDM
s6,CONAE - 21 EXPEDIENTE/PUBLICAÇÃO,CGFHADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DO IPIRANGA,CGJAADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE JAÇANÃ / TREMEMBÉ,CGJBADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE FREGUESIA / BRASILÂNDIA,CGJCADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE PIRITUBA,CGJDADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE CAMPO LIMPO,CGJEADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE SANTO AMARO,CGJFADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DA PENHA,CGJGADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE CAPELA DO SOCORRO,CGJHADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE ITAQUERA,CGJIADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE SÃO MIGUEL,CGJJADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE GUAIANASES,CGJLADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DO BUTANTÃ,CGJMADM
s10,DIRETORIA REGIONAL DE EDUCAÇÃO DE SÃO MATEUS,CGJNADM
s5,"ESPORTES, LAZER E RECREAÇÃO",
s6,GABINETE DO SECRETÁRIO,CHAAADM
s6,ASSESSORIA JURIDICA,CHAABDM
s6,RECURSOS HUMANOS,CHAACDM
s6,NÚCLEO DE SUPORTE TÉCNICO,CHAADDM
s10,COORDENADORIA DE GESTÃO DAS POLÍTICAS E PROGRAMAS DE ESPORTE E LAZER,CHABADM
s6,COORDENADORIA DE GESTÃO DAS POLÍTICAS E PROGRAMAS DE ESPORTE E LAZER,CHACADM
s10,COORDENADORIA DE GESTÃO ESTRATÉGICA DOS EQUIPAMENTOS,CHADADM
s10,COORDENADORIA DE GESTÃO DO ESPORTE DE ALTO RENDIMENTO,CHAEADM
s10,ESTÁDIO DO PACAEMBU,CHAFADM
s10,AUTÓDROMO DE INTERLAGOS,CHAGADM
s5,ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,
s6,GABINETE DO SECRETÁRIO,CIAAADM
s6,ASSESSORIA JURÍDICA,CIABADM
s10,COORDENADORIA DE GESTÃO ADMINISTRATIVA,CIBAADM
s6,COORDENADORIA DE GESTÃO ADMINISTRATIVA,CIBDADM
s6,SUPERVISÃO TÉCNICA DE SUPRIMENTOS,CIBGADM
s6,SUPERVISÃO TÉCNICA DE SUPRIMENTOS,CIBGCDM
s6,CONVÊNIOS,CIBGEDM
s6,COMPRAS,CIBGGDM
s6,SUPERVISÃO TÉCNICA DE CONTABILIDADE,CIBJADM
s6,SUPERVISÃO TÉCNICA DE CONTABILIDADE,CIBJCDM
s6,SUPERVISÃO TÉCNICA DE CONTABILIDADE,CIBJEDM
s6,SUPERVISÃO TÉCNICA DE CONTABILIDADE,CIBJHDM
s6,SUPERVISÃO TÉCNICA DE CONTABILIDADE,CIBJLDM
s10,COORDENADORIA DE GESTÃO DE PESSOAS,CICAADM
s6,SUPERVISÃO DE EVENTOS FUNCIONAIS,CICADDM
s6,SUPERVISÃO DE EVENTOS FUNCIONAIS,CICAFDM
s6,SUPERVISÃO DE EVENTOS FUNCIONAIS,CICAHDM
s10,SUPERVISÃO GERAL DE PLANEJAMENTO E CONTROLE,CIDAADM
s10,COORDENADORIA DE ASSISTÊNCIA SOCIAL SUDESTE,CIEBADM
s10,COORDENADORIA DE ASSISTÊNCIA SOCIAL LESTE,CIECADM
s10,COORDENADORIA DE ASSISTÊNCIA SOCIAL CENTRO-OESTE,CIEDADM
s10,COORDENADORIA DE ASSISTÊNCIA SOCIAL SUL,CIEEADM
s10,COORDENADORIA DE ASSISTÊNCIA SOCIAL NORTE,CIEFADM
s5,FINANÇAS E DESENVOLVIMENTO ECONÔMICO,
s6,GABINETE DO SECRETÁRIO,CJAAADM
s6,CHEFE DE GABINETE DO SECRETÁRIO,CJABADM
s6,DIVISÃO DE GESTÃO DE PESSOAS - DIGEP,CJANADM
s10,CONSELHO MUNICIPAL DE TRIBUTOS,CJAWADM
s10,COORDENADORIA DO PMAT,CJBAADM
s10,AUDITORIA GERAL,CJCAADM
s10,SUBSECRETARIA DA RECEITA MUNICIPAL,CJGAADM
s6,DIVISÃO DE MAPA DE VALORES - DIMAP,CJGBADM
s6,SUBDIVISÃO DE PESQUISA E ANÁLISE DE VALORES IMOBILIÁRIOS,CJGBBDM
s6,SUBDIVISÃO DE CARTOGRAFIA FISCAL,CJGBCDM
s6,SUBDIVISÃO DE CADASTRO DE LOGRADOUROS,CJGBDDM
s6,DIVISÃO DO CADASTRO DE IMÓVEIS - DICIM,CJGCADM
s6,SUBDIVISÃO DO CADASTRO DE IMÓVEIS - CENTRO-NORTE-OESTE,CJGCBDM
s6,SUBDIVISÃO DO CADASTRO DE IMÓVEIS - CENTRO-NORTE-OESTE,CJGCCDM
s6,SUBDIVISÃO DO CADASTRO DE IMÓVEIS - CENTRO-NORTE-OESTE,CJGCDDM
s6,DIVISÃO DO CADASTRO DE IMÓVEIS,CJGDADM
s6,SUBDIVISÃO DO CADASTRO DE IMÓVEIS - CENTRO-SUL,CJGDBDM
s6,SUBDIVISÃO DO CADASTRO DE IMÓVEIS - CENTRO-SUL,CJGDCDM
s6,SUBDIVISÃO DO CADASTRO DE IMÓVEIS - CENTRO-SUL,CJGDDDM
s6,DIVISÃO DO CADASTRO DE IMÓVEIS,CJGEADM
s6,SUBDIVISÃO DO CADASTRO DE IMÓVEIS - CENTRO-LESTE,CJGEBDM
s6,SUBDIVISÃO DO CADASTRO DE IMÓVEIS - CENTRO-LESTE,CJGECDM
s6,SUBDIVISÃO DO CADASTRO DE IMÓVEIS - CENTRO-LESTE,CJGEDDM
s6,"DIVISÃO DE LANÇAMENTO, COBRANÇA E PARCELAMENTO - DICOP",CJGFADM
s6,DIVISÃO DO CADASTRO DE IMÓVEIS,CJGFBDM
s6,SUBDIVISÃO DE LANÇAMENTO,CJGFCDM
s6,SUBDIVISÃO DE LANÇAMENTO,CJGFDDM
s6,DIVISÃO DO CADASTRO DE PESSOAS - DICAP,CJGGADM
s6,DIVISÃO DO CADASTRO DE PESSOAS - DICAP,CJGGBDM
s6,DIVISÃO DO CADASTRO DE PESSOAS - DICAP,CJGGFDM
s6,"DIVISÃO DE IMUNIDADES, ISENÇÕES, INCENTIVOS FISCAIS E REGIMES ESPECIAIS - DIESP",CJGHADM
s6,SUBDIVISÃO DE IMUNIDADES - SUBIM,CJGHBDM
s6,SUBDIVISÃO DE ISENÇÕES E INCENTIVOS FISCAIS - SUBIS,CJGHCDM
s6,SUBDIVISÃO DE TRIBUTAÇÃO DA TRANSMISSÃO DE BENS IMÓVEIS - SUBIT,CJGHDDM
s6,DEPARTAMENTO DE ARRECADAÇÃO E COBRANÇA - DECAR,CJGIADM
s6,DEPARTAMENTO DE FISCALIZAÇÃO - DEFIS,CJIAADM
s6,DEPARTAMENTO DE FISCALIZAÇÃO - DEFIS,CJIABDM
s6,DEPARTAMENTO DE FISCALIZAÇÃO - DEFIS,CJIACDM
s6,DEPARTAMENTO DE FISCALIZAÇÃO - GABINETE DO SECRETÁRIO,CJIBADM
s6,SUBDIVISÃO DO CADASTRO DE IMÓVEIS - HABITE-SE,CJIBBDM
s6,DIVISÃO DO SETOR DE SERVIÇOS - DISER,CJIBCDM
s6,DIVISÃO DO SETOR FINANCEIRO - DIFIN,CJIBDDM
s6,DIVISÃO DO CADASTRO DE PESSOAS - DICAP,CJICADM
s6,DIVISÃO DE JULGAMENTO - DIJUL,CJICBDM
s6,DIVISÃO DE JULGAMENTO - DIJUL,CJICCDM
s6,DIVISÃO DE JULGAMENTO - DIJUL,CJICDDM
s6,SUBDIVISÃO DE CANCELAMENTO,CJICEDM
s6,SUBDIVISÃO DE COBRANÇA E PARCELAMENTO,CJICFDM
s6,DIVISÃO DO SETOR DE SERVIÇOS - DISER,CJIDADM
s6,DIVISÃO DE DECLARAÇÕES FISCAIS - DIDEF,CJIDBDM
s6,DIVISÃO DO SETOR DE SERVIÇOS - DISER,CJIDCDM
s6,DIVISÃO DO SETOR DE COMÉRCIO E INDÚSTRIA - DICIN,CJIEADM
s6,DIVISÃO DO SETOR DE COMÉRCIO E INDÚSTRIA - DICIN,CJIEBDM
s6,DIVISÃO DO SETOR DE COMÉRCIO E INDÚSTRIA - DICIN,CJIECDM
s6,DIVISÃO DO SETOR DE COMÉRCIO E INDÚSTRIA - DICIN,CJIEDDM
s6,DIVISAO DE FISCALIZAÇÃO DO SETOR DE SERVIÇOS – DISER,CJIFADM
s6,DIVISÃO DE FISCALIZAÇÃO DO SETOR DE SERVIÇOS- DISER,CJIFBDM
s6,DIVISÃO DE JULGAMENTO,CJIFCDM
s6,DIVISÃO DO SETOR DE SERVIÇOS,CJIFDDM
s6,DIVISÃO DE LANÇAMENTO COBRANÇA E PARCELAMENTO – DICOP.,CJIGADM
s6,"DIVISÃO DE IMUNIDADES, ISENÇÕES, INCENTIVOS FISCAIS E REGIMES ESPECIAIS",CJIGBDM
s6,SUBDIVISÃO DE COBRANÇA E PARCELAMENTO,CJIGCDM
s6,"DIVISÃO DE PROGRAMAÇÃO, CONTROLE E AVALIAÇÃO - DIPRO",CJIHADM
s6,"DIVISÃO DE PROGRAMAÇÃO, CONTROLE E AVALIAÇÃO - DIPRO",CJIHBDM
s6,"DIVISÃO DE PROGRAMAÇÃO, CONTROLE E AVALIAÇÃO - DIPRO",CJIHCDM
s6,DEPARTAMENTO DE TRIBUTAÇÃO E JULGAMENTO - DEJUG,CJIIADM
s6,"DIVISÃO DE LEGISLAÇÃO, NORMAS E CONSULTAS - DILEG",CJIIBDM
s6,DIVISÃO DE ACOMPANHAMENTO DO CONTECIOSO ADMINISTRATIVO E JUDICIAL - DICAJ,CJIICDM
s10,SUBSECRETARIA DO TESOURO MUNICIPAL,CJLAADM
s6,DIVISÃO TÉCNICA DE PROGRAMAÇÃO FINANCEIRA - DIPRF,CJLACDM
s6,DIVISÃO TÉCNICA DE PROGRAMAÇÃO FINANCEIRA - DIPRF,CJLAEDM
s6,DEPTO DE CONTADORIA - DECON,CJMAADM
s12,HABITAÇÃO,
s13,GABINETE DO SECRETÁRIO,CKAAADM
s13,SEHAB - CPA,CKAABDM
s13,GABINETE DO SECRETÁRIO ADJUNTO,CKAACDM
s13,ASSESSORIA TÉCNICA E JURÍDICA,CKABADM
s13,SEHAB-PROCENTRO,CKACDDM
s13,SGAF - SUPERVISÃO DE ADMINISTRAÇÃO,CKAFADM
s13,SGAF - GABINETE DO SUPERVISOR,CKAFBDM
s13,SGAF - SUPERVISÃO DE EXECUÇÃO ORÇAMENTÁRIA E FINANCEIRA,CKAGADM
s11,COORDENADORIA DE REGULARIZAÇÃO FUNDIÁRIA – CRF-G,CKFAADM
s17,ASSESSORIA JURÍDICA – CRFG-AJ,CKFBADM
s17,ASSESSORIA ADM/FINANCEIRA – CRF-G-AF,CKFCADM
s17,ASSESSORIA DE CADASTRO E INFORMAÇÕES – CRF-G- ASSES. CADASTRO,CKFDADM
s17,DEPARTAMENTO DE REGULARIZAÇÃO FUNDIÁRIA – DTR-G,CKFEADM
s17,DIVISÃO TÉCNICA DE ÁREAS PARTICULARES – DTR-1,CKFFADM
s17,DIVISÃO TÉCNICA DE MANANCIAS – DTR-2,CKFGADM
s17,DIVISÃO TÉCNICA DE ÁREAS PÚBLICAS – DTR-3,CKFHADM
s17,DIVISÃO TÉCNICA DE ASSIST. GRATUÍTA – DTR-4,CKFIADM
s19,"COORDENADORIA DE GESTÃO DE PROGRAMAS, PROJETOS E OBRAS",CKGAADM
s13,DEPARTAMENTO DE PROJETOS E OBRAS,CKGBADM
s13,SUPERVISÃO DE EXECUÇÃO ORÇAMENTÁRIA E FINANCEIRA,CKGCADM
s20,COORDENADORIA DE GESTÃO DO ATENDIMENTO SOCIAL - CAS,CKHAADM
s10,CONSELHO MUNICIPAL DE HABITAÇÃO,CKIAADM
s5,LICENCIAMENTO,
s6,GABINETE DO SECRETÁRIA,CKLAADM
s6,COORDENADORIA DE EDIFICAÇÃO DE USO RESIDENCIAL,CKLBADM
s6,COORDENADORIA DE EDIFICAÇÃO DE SERVIÇOS E USO INSTITUCIONAL,CKLCADM
s6,COORDENADORIA DE EDIFICAÇÃO DE USO COMERCIAL E INDUSTRIAL,CKLDADM
s6,COORDENADORIA DE PARCELAMENTO DO SOLO E DE HABITAÇÃO DE INTERESSE SOCIAL,CKLEADM
s6,COORDENADORIA DE ATIVIDADE ESPECIAL E SEGURANÇA DE USO,CKLFADM
s6,SUPERVISÃO GERAL DE INFORMAÇÃO,CKLGADM
s6,SUPERVISÃO GERAL DE ADMINISTRAÇÃO E FINANÇAS ,CKLHADM
s5,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,
s6,GABINETE DO SUPERINTENDENTE,CLAAADM
s6,EXPEDIENTE,CLACADM
s6,ESCOLA DE ENFERMAGEM,CLAEADM
s6,COMISSÃO DE ENSINO,CLAGADM
s6,COMISSÃO DE JULGAMENTO DE LICITAÇÃO,CLAIADM
s6,DIVISÃO ADMINISTRATIVA,CLBAADM
s6, COMPRAS,CLBCADM
s6, RECURSOS HUMANOS,CLBEADM
s6,GESTÃO DE TALENTOS,CLBECDM
s6, CONTABILIDADE,CLBGADM
s6,GERÊNCIA DE SUPRIMENTOS,CLBHADM
s6,GERÊNCIA TÉCNICA DE APOIO TERAPEUTICO,CLBIADM
s5,INSTITUTO DE PREVIDÊNCIA MUNICIPAL,
s6,GABINETE DO SUPERINTENDENTE,CMAAADM
s6,JURIDICO,CMBAADM
s6,BENEFICIOS,CMCAADM
s6,DIVISÃO DE ASSUNTOS INTERNOS,CMDAADM
s6, LICITAÇÃO,CMEAADM
s6,DIVISÃO DE FINANÇAS E CONTABILIDADE,CMFAADM
s5,NEGÓCIOS JURÍDICOS,
s6,GABINETE DO SECRETÁRIO,CNAAADM
s6,DIVISÃO TÉCNICA DE ADMINISTRAÇÃO DE PESSOAL,CNABADM
s6,SEÇÃO TÉCNICA DE ADMINISTRAÇÃO DE PESSOAL,CNACADM
s6,DIVISÃO TÉCNICA DE CONTABILIDADE,CNADADM
s10,CONSELHO MUN. DE ACIDENTES COM VIATURAS MUNICIPAIS - COMUV,CNBAADM
s10,PROCURADORIA GERAL DO MUNICÍPIO - PGM,CNDAADM
s6,CHEFE DE GABINETE DO SECRETÁRIO,CNDABDM
s6,ASSESSORIA JURÍDICA,CNDACDM
s6,DIVISÃO ADMINISTRATIVA,CNDADDM
s6,CONTABILIDADE,CNDAEDM
s6,DEPTO PESSOAL,CNDAFDM
s10,CENTRO DE ESTUDOS JURÍDICOS,CNDBADM
s10,COMISSÃO PERMANENTE AVALIAÇÃO DE CONCESSÃO CERTIFICADOS CONCLUSÃO,CNDCADM
s10,CONSELHO DA PROCURADORIA GERAL DO MUNICÍPIO,CNDDADM
s10,ESCOLA SUPERIOR DE DIREITO PÚBLICO MUNICIPAL,CNDEADM
s10,DEPTO DE DESAPROPRIAÇÕES,CNFAADM
s6,DESAP - UNIDADE DE PESSOAL,CNFADDM
s10,DEPTO FISCAL,CNHAADM
s6,ASSESSORIA JURIDICA,CNHABDM
s6,FISC-5,CNHACDM
s10,DEPTO JUDICIAL,CNJAADM
s6,ASSISTÊNCIA ADMINISTRATIVA,CNJBADM
s6,DIVISÃO ADMINISTRATIVA (SETOR DE PESSOAL),CNJCADM
s6,JUD - 1,CNJDADM
s6,JUD - 2,CNJEADM
s6,JUD - 3,CNJFADM
s6,JUD - 4,CNJGADM
s10,DEPTO DE DEFESA DO MEIO AMBIENTE E DO PATRIMÔNIO,CNLAADM
s6,DEMAP -    DIVISÃO ADMINISTRATIVA,CNLEADM
s10,DEPTO DE PROCEDIMENTOS DISCIPLINARES,CNNAADM
s6,PROCED - GAPE,CNNAGDM
s5,DESENVOLVIMENTO URBANO,
s6,GABINETE DO SECRETÁRIO,COFAADM
s6,ASSESSORIA TÉCNICA DE POLÍTICA URBANA,COFABDM
s6,ASSESSORIA TÉCNICA DE OPERAÇÃO URBANA,COFACDM
s6,COORDENADORIA DE ADMINISTRAÇÃO E FINANÇAS,COFADDM
s6,FUNDO DE DESENVOLVIMENTO URBANO - FUNDURB,COFAEDM
s6,ASSESSORIA TÉCNICA DE DESENVOLVIMENTO URBANO,COFAFDM
s10,CONSELHO MUNICIPAL DE POLÍTICA URBANA - CMPU,COFBADM
s10,CÂMARA TÉCNICA DE LEGISLAÇÃO URBANÍSTICA - CTLU,COFCADM
s10,DEPTO DE URBANISMO,COFDADM
s10,DEPTO DE USO DO SOLO,COFEADM
s10,DEPTO DE ESTATÍSTICA E PRODUÇÃO DE INFORMAÇÃO,COFFADM
s10,COMISSÃO DE PROTEÇÃO À PAISAGEM URBANA - CPPU,COFGADM
s5,SAÚDE,
s6,GABINETE DO SECRETÁRIO,CPAAADM
s6,DIVISÃO FINANCEIRA,CPABADM
s6,SMS-2,CPACADM
s6,SMS-3 - SUPRI,CPADADM
s6,SMS-3 - SUPRI,CPADBDM
